	Gender	Age	Height	Weight	Duration	Heart_Rate	Body_Temp	Calories	BMI	BMI Category	Age Group
0	1	68	190.0	94.0	29.0	105.0	40.8	231.0	26.038781163434905	Overweight	Old
1	0	20	166.0	60.0	14.0	94.0	40.3	66.0	21.773842357381334	Normal Weight	Youth
2	1	69	179.0	79.0	5.0	88.0	38.7	26.0	24.65590961580475	Normal Weight	Old
3	0	34	179.0	71.0	13.0	100.0	40.5	71.0	22.15910864205237	Normal Weight	Adult
4	0	27	154.0	58.0	10.0	81.0	39.8	35.0	24.456063417102378	Normal Weight	Adult
5	0	36	151.0	50.0	23.0	96.0	40.7	123.0	21.928862769176792	Normal Weight	Adult
6	0	33	158.0	56.0	22.0	95.0	40.5	112.0	22.432302515622492	Normal Weight	Adult
7	1	41	175.0	85.0	25.0	100.0	40.7	143.0	27.755102040816325	Overweight	Adult
8	1	60	186.0	94.0	21.0	97.0	40.4	134.0	27.170771187420506	Overweight	Adult
9	0	26	146.0	51.0	16.0	90.0	40.2	72.0	23.925689622818542	Normal Weight	Adult
10	0	36	177.0	76.0	1.0	74.0	37.8	3.0	24.258674071946118	Normal Weight	Adult
11	0	21	157.0	56.0	17.0	100.0	40.0	92.0	22.7189744005842	Normal Weight	Youth
12	1	66	171.0	79.0	11.0	90.0	40.0	58.0	27.01685988851271	Overweight	Old
13	0	32	157.0	54.0	18.0	93.0	40.4	88.0	21.907582457706194	Normal Weight	Adult
14	1	53	182.0	85.0	2.0	82.0	38.1	7.0	25.661152034778407	Overweight	Adult
15	0	39	156.0	62.0	28.0	104.0	40.8	170.0	25.476660092044707	Overweight	Adult
16	1	39	182.0	82.0	4.0	82.0	38.6	11.0	24.755464315903875	Normal Weight	Adult
17	1	46	169.0	67.0	11.0	89.0	40.2	43.0	23.458562375266975	Normal Weight	Adult
18	0	27	171.0	65.0	4.0	85.0	38.6	15.0	22.229061933586404	Normal Weight	Adult
19	1	50	188.0	86.0	14.0	94.0	40.2	74.0	24.332277048438208	Normal Weight	Adult
20	1	67	189.0	93.0	8.0	77.0	39.2	29.0	26.035105400184765	Overweight	Old
21	0	31	148.0	50.0	8.0	84.0	39.5	32.0	22.826880934989045	Normal Weight	Adult
22	0	33	157.0	60.0	3.0	80.0	38.7	10.0	24.341758286340216	Normal Weight	Adult
23	0	20	165.0	59.0	29.0	100.0	41.0	155.0	21.6712580348944	Normal Weight	Youth
24	1	48	182.0	85.0	1.0	80.0	37.7	3.0	25.661152034778407	Overweight	Adult
25	1	29	176.0	75.0	10.0	83.0	39.7	24.0	24.212293388429753	Normal Weight	Adult
26	1	33	173.0	73.0	7.0	78.0	39.3	12.0	24.3910588392529	Normal Weight	Adult
27	1	42	190.0	88.0	3.0	83.0	38.9	10.0	24.37673130193906	Normal Weight	Adult
28	0	62	159.0	59.0	29.0	106.0	41.2	195.0	23.337684427040067	Normal Weight	Adult
29	1	38	171.0	75.0	2.0	81.0	38.2	5.0	25.64891761567662	Overweight	Adult
30	1	20	183.0	88.0	16.0	97.0	40.5	69.0	26.27728507868255	Overweight	Youth
31	0	25	160.0	59.0	24.0	102.0	40.3	136.0	23.046874999999996	Normal Weight	Adult
32	0	24	165.0	59.0	18.0	91.0	40.2	80.0	21.6712580348944	Normal Weight	Youth
33	0	42	165.0	68.0	22.0	93.0	40.8	107.0	24.977043158861342	Normal Weight	Adult
34	1	22	182.0	84.0	29.0	114.0	41.0	200.0	25.359256128486894	Overweight	Youth
35	0	74	158.0	59.0	10.0	93.0	39.6	56.0	23.634033007530842	Normal Weight	Old
36	0	70	154.0	59.0	10.0	88.0	40.0	50.0	24.87771968291449	Normal Weight	Old
37	0	26	182.0	80.0	21.0	96.0	40.5	100.0	24.151672503320853	Normal Weight	Adult
38	1	44	184.0	86.0	25.0	114.0	40.8	200.0	25.401701323251416	Overweight	Adult
39	1	61	183.0	86.0	1.0	81.0	38.3	4.0	25.680074054167036	Overweight	Adult
40	0	68	157.0	57.0	13.0	92.0	40.1	70.0	23.124670372023203	Normal Weight	Old
41	0	61	176.0	70.0	20.0	104.0	40.5	127.0	22.59814049586777	Normal Weight	Adult
42	1	63	179.0	80.0	25.0	108.0	40.8	197.0	24.968009737523797	Normal Weight	Adult
43	0	54	171.0	66.0	20.0	98.0	40.1	113.0	22.571047501795427	Normal Weight	Adult
44	0	54	169.0	66.0	3.0	80.0	38.9	11.0	23.1084345786212	Normal Weight	Adult
45	0	47	155.0	55.0	16.0	93.0	40.5	82.0	22.892819979188342	Normal Weight	Adult
